Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1691.90780173913
FDW14,OUT017,1412.1562050420166
NCN55,OUT010,584.757764772727
FDQ58,OUT017,2222.671282258065
FDY38,OUT027,6280.89088
FDH56,OUT046,1922.149381714286
FDL48,OUT018,713.8586545454547
FDC48,OUT027,2517.8820884848483
FDN33,OUT045,1559.3429752688182
FDA36,OUT017,2827.3566888888895
FDT44,OUT017,1922.149381714286
FDQ56,OUT045,1412.1562050420166
NCC54,OUT019,584.757764772727
FDU11,OUT049,2089.9710432835827
DRL59,OUT013,713.8586545454547
FDM24,OUT049,2490.526886705202
FDI57,OUT045,2919.0371914893626
DRC12,OUT018,2919.0371914893626
NCM42,OUT027,3242.0620715328478
FDA46,OUT010,482.6995426229506
FDA31,OUT013,2851.631695876289
NCJ31,OUT035,3719.064328378379
FDG52,OUT046,798.2176035398223
NCL19,OUT019,281.4820818181818
FDS10,OUT035,2919.0371914893626
FDX22,OUT010,584.757764772727
NCF19,OUT035,798.2176035398223
NCE06,OUT046,2222.671282258065
DRC27,OUT046,3881.9171284552813
FDE21,OUT035,1922.149381714286
NCR42,OUT019,92.67548155339803
FDX51,OUT018,2911.411439639639
NCR06,OUT018,507.0464036697249
FDU31,OUT027,5329.314724444443
FDU59,OUT017,2611.4595423423425
FDR03,OUT027,5329.314724444443
FDS49,OUT027,2517.8820884848483
FDD48,OUT010,281.4820818181818
NCF18,OUT017,2919.0371914893626
NCD43,OUT027,2517.8820884848483
NCD54,OUT018,1752.2524400000002
FDY19,OUT010,281.4820818181818
NCY54,OUT017,2851.631695876289
NCL19,OUT018,2232.8470218487387
FDP23,OUT010,584.757764772727
FDC26,OUT013,1499.2484400000008
FDR14,OUT010,165.9185816513762
NCS41,OUT035,3328.2073809523795
FDF41,OUT035,3719.064328378379
FDU34,OUT046,1952.3712349514562
DRH11,OUT046,842.2509434554976
FDM03,OUT013,1499.2484400000008
FDS31,OUT017,3328.2073809523795
FDJ20,OUT017,2089.9710432835827
FDV44,OUT027,5329.314724444443
FDG02,OUT049,2827.3566888888895
FDA09,OUT013,2851.631695876289
FDT04,OUT013,507.0464036697249
FDL58,OUT019,584.757764772727
FDE52,OUT045,1353.0650169014084
FDW12,OUT035,2490.526886705202
FDL51,OUT017,3881.9171284552813
NCY42,OUT027,3242.0620715328478
FDR07,OUT017,1559.3429752688182
FDN40,OUT045,2490.526886705202
FDB35,OUT027,2517.8820884848483
FDA22,OUT017,2611.4595423423425
NCL06,OUT046,4034.3003068965513
FDI35,OUT013,3328.2073809523795
NCW42,OUT045,3881.9171284552813
NCX06,OUT049,2568.33283364486
FDC37,OUT027,2517.8820884848483
FDZ14,OUT018,1752.2524400000002
DRG49,OUT049,3719.064328378379
NCG06,OUT045,4034.3003068965513
DRC36,OUT045,2851.631695876289
FDV21,OUT019,281.4820818181818
FDB53,OUT046,2660.9504030303037
DRP47,OUT019,584.757764772727
FDA14,OUT013,2660.9504030303037
DRC24,OUT035,2660.9504030303037
FDW21,OUT018,1372.6884907407407
NCH29,OUT046,1559.3429752688182
FDU58,OUT013,2911.411439639639
FDY27,OUT017,2851.631695876289
FDV56,OUT035,1784.4287381818178
FDT59,OUT046,3627.549891262138
FDB23,OUT046,3627.549891262138
FDR49,OUT045,798.2176035398223
FDB03,OUT010,584.757764772727
FDN39,OUT045,2453.7477006993004
FDX02,OUT027,5329.314724444443
FDQ16,OUT027,2517.8820884848483
FDU35,OUT018,1372.6884907407407
NCT29,OUT013,2089.9710432835827
FDZ27,OUT046,798.2176035398223
