Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1822.1061425513121
FDW14,OUT017,1553.2012235070056
NCN55,OUT010,1883.2703099452044
FDQ58,OUT017,2568.809021222258
FDY38,OUT027,5183.909716569873
FDH56,OUT046,1931.210890520449
FDL48,OUT018,606.7759996868474
FDC48,OUT027,2762.888636791528
FDN33,OUT045,1532.101932255664
FDA36,OUT017,3065.081316075521
FDT44,OUT017,1993.3653540082323
FDQ56,OUT045,1332.6385802197042
NCC54,OUT019,1890.745023716326
FDU11,OUT049,2054.984783261009
DRL59,OUT013,882.7704979301404
FDM24,OUT049,2548.7786207534386
FDI57,OUT045,3089.740072646246
DRC12,OUT018,2764.422393507845
NCM42,OUT027,3187.5486998934675
FDA46,OUT010,1157.201934448038
FDA31,OUT013,2816.377700150498
NCJ31,OUT035,3903.3940520265464
FDG52,OUT046,811.2432794911206
NCL19,OUT019,365.10977825043994
FDS10,OUT035,3003.402393418762
FDX22,OUT010,1444.4043333006823
NCF19,OUT035,914.8451311815268
NCE06,OUT046,2562.4307793979024
DRC27,OUT046,3859.179180624542
FDE21,OUT035,2008.2249515698677
NCR42,OUT019,-1350.0682149844922
FDX51,OUT018,2864.9769208226576
NCR06,OUT018,431.5899135802504
FDU31,OUT027,4927.556277004883
FDU59,OUT017,2713.037288788303
FDR03,OUT027,4730.727013440638
FDS49,OUT027,2752.080201320767
FDD48,OUT010,-80.93163268488863
NCF18,OUT017,3119.835099260618
NCD43,OUT027,3089.6256434724214
NCD54,OUT018,1997.878203200775
FDY19,OUT010,-44.79785658716102
NCY54,OUT017,2841.636137296419
NCL19,OUT018,2023.6487159970682
FDP23,OUT010,1526.3271731145426
FDC26,OUT013,1837.5717329052532
FDR14,OUT010,-986.7506852309891
NCS41,OUT035,3025.2327554026615
FDF41,OUT035,4055.6997344742713
FDU34,OUT046,2009.2845021788937
DRH11,OUT046,944.5287505389231
FDM03,OUT013,1750.843572758531
FDS31,OUT017,3008.558091597303
FDJ20,OUT017,2091.649275886239
FDV44,OUT027,4475.929192106903
FDG02,OUT049,3088.047714235361
FDA09,OUT013,2923.9241801112685
FDT04,OUT013,685.8336173456398
FDL58,OUT019,2305.017409314598
FDE52,OUT045,1443.0260822098267
FDW12,OUT035,2488.9421268160872
FDL51,OUT017,3532.9108997253115
NCY42,OUT027,3679.992095943119
FDR07,OUT017,1655.9101147810413
FDN40,OUT045,2380.071176961087
FDB35,OUT027,2946.159113382341
FDA22,OUT017,2736.471565460133
NCL06,OUT046,4131.756184893225
FDI35,OUT013,2910.174465362178
NCW42,OUT045,3425.586901363813
NCX06,OUT049,2926.672578764495
FDC37,OUT027,3184.999421369673
FDZ14,OUT018,1736.9824343159312
DRG49,OUT049,3950.2806185026125
NCG06,OUT045,3965.0683693939804
DRC36,OUT045,2725.858646076627
FDV21,OUT019,113.9851513179315
FDB53,OUT046,2380.999274194168
DRP47,OUT019,2082.830839603088
FDA14,OUT013,2347.723002933454
DRC24,OUT035,2552.396625077805
FDW21,OUT018,1400.0009109143787
NCH29,OUT046,1566.7341608582062
FDU58,OUT013,3067.7319660634016
FDY27,OUT017,2920.8610520864504
FDV56,OUT035,1926.7476292709516
FDT59,OUT046,3655.327200674951
FDB23,OUT046,3612.045796827221
FDR49,OUT045,722.484790353897
FDB03,OUT010,1948.4572067274041
FDN39,OUT045,2614.98350860784
FDX02,OUT027,4973.129687177545
FDQ16,OUT027,3178.73650237064
FDU35,OUT018,1343.0372198757962
NCT29,OUT013,1970.430165037035
FDZ27,OUT046,820.2948534759458
FDN57,OUT017,2335.8314747081363
FDA03,OUT018,2092.9299999639316
FDZ36,OUT045,2931.9909192059963
NCU05,OUT013,1333.3513844722013
FDT39,OUT018,2185.1321122938857
FDK60,OUT017,1702.829879692753
FDZ25,OUT017,2824.4055106899696
FDG12,OUT046,2009.9904595416965
DRB01,OUT019,1135.6895682669597
NCC43,OUT027,5379.654352939512
FDX13,OUT019,2038.8884832542128
FDM22,OUT049,1011.360542822513
FDJ03,OUT027,2300.403318169575
FDU14,OUT018,3675.450318167696
FDB33,OUT010,615.4852976722734
FDP27,OUT046,3037.2188235601748
FDO38,OUT010,-664.9632647008848
FDE28,OUT027,5150.258582991362
FDO27,OUT035,1720.4798890093416
DRL23,OUT027,3152.265355099985
FDS28,OUT046,980.1467523069551
FDX24,OUT013,1532.9478781495359
FDZ02,OUT035,1735.6239200787256
FDL46,OUT045,1816.5199701921256
FDS60,OUT027,4282.833430767483
NCO06,OUT017,644.4722300713445
FDO16,OUT035,1515.3335115823343
FDC60,OUT049,1549.1078510205264
FDA48,OUT018,3218.430462924585
FDZ36,OUT027,4440.230864936061
FDK27,OUT045,1879.289855311781
FDW23,OUT018,399.8424603484317
FDM14,OUT018,1505.0469620876165
FDM14,OUT013,1774.0838586507255
FDW60,OUT018,2600.9059343457666
FDE21,OUT013,1902.5239759159072
NCM42,OUT035,1879.5255147443183
FDY59,OUT010,-392.0457829939293
DRI49,OUT049,1397.067423712099
FDT28,OUT019,524.674586842202
FDQ22,OUT018,406.1619857453578
FDR60,OUT049,1338.0245287112784
FDC50,OUT019,-355.2048634109182
FDV24,OUT013,2456.173558216503
DRF48,OUT010,1062.7689525611763
FDQ47,OUT046,679.323637049911
DRN36,OUT049,1646.172170569606
NCY06,OUT035,2173.647561077636
FDE52,OUT035,1627.7350330686982
NCB54,OUT045,1957.036470118329
NCF31,OUT035,2550.1992643987455
FDJ08,OUT027,4454.240781196557
NCC07,OUT017,1780.5269050823263
NCD19,OUT027,2317.4945343889544
FDL46,OUT049,1994.7407638418422
FDM20,OUT045,3832.7035005738794
NCI06,OUT010,931.5464306486848
DRM11,OUT035,4216.864841341667
NCH07,OUT018,2236.541455649844
FDS23,OUT013,2109.692763188891
FDO49,OUT018,595.6347414785016
FDS35,OUT049,1165.560292274742
DRK39,OUT045,1272.2164576023265
DRI39,OUT049,1038.9152014225415
FDV04,OUT017,2653.405181597704
NCN14,OUT035,3011.1610205137204
FDH08,OUT013,3688.761868691498
FDS20,OUT046,2918.2677171573077
FDV40,OUT049,1318.9085841325725
FDZ48,OUT010,-138.55086014523428
FDS24,OUT027,2902.150673620134
FDK44,OUT049,2858.8858364781604
