Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1850.0
FDW14,OUT017,1572.0
NCN55,OUT010,1874.0
FDQ58,OUT017,2592.0
FDY38,OUT027,5182.0
FDH56,OUT046,1928.0
FDL48,OUT018,594.0
FDC48,OUT027,2798.0
FDN33,OUT045,1504.0
FDA36,OUT017,3092.0
FDT44,OUT017,1984.0
FDQ56,OUT045,1308.0
NCC54,OUT019,1846.0
FDU11,OUT049,2050.0
DRL59,OUT013,890.0
FDM24,OUT049,2554.0
FDI57,OUT045,3082.0
DRC12,OUT018,2762.0
NCM42,OUT027,3206.0
FDA46,OUT010,1122.0
FDA31,OUT013,2786.0
NCJ31,OUT035,3860.0
FDG52,OUT046,802.0
NCL19,OUT019,374.0
FDS10,OUT035,3020.0
FDX22,OUT010,1470.0
NCF19,OUT035,928.0
NCE06,OUT046,2536.0
DRC27,OUT046,3850.0
FDE21,OUT035,2032.0
NCR42,OUT019,-1354.0
FDX51,OUT018,2874.0
NCR06,OUT018,436.0
FDU31,OUT027,4962.0
FDU59,OUT017,2706.0
FDR03,OUT027,4770.0
FDS49,OUT027,2762.0
FDD48,OUT010,-62.0
NCF18,OUT017,3108.0
NCD43,OUT027,3114.0
NCD54,OUT018,1992.0
FDY19,OUT010,-34.0
NCY54,OUT017,2796.0
NCL19,OUT018,2024.0
FDP23,OUT010,1542.0
FDC26,OUT013,1802.0
FDR14,OUT010,-1058.0
NCS41,OUT035,3032.0
FDF41,OUT035,4038.0
FDU34,OUT046,1996.0
DRH11,OUT046,932.0
FDM03,OUT013,1718.0
FDS31,OUT017,3024.0
FDJ20,OUT017,2088.0
FDV44,OUT027,4506.0
FDG02,OUT049,3114.0
FDA09,OUT013,2942.0
FDT04,OUT013,662.0
FDL58,OUT019,2286.0
FDE52,OUT045,1452.0
FDW12,OUT035,2512.0
FDL51,OUT017,3548.0
NCY42,OUT027,3702.0
FDR07,OUT017,1656.0
FDN40,OUT045,2362.0
FDB35,OUT027,2966.0
FDA22,OUT017,2732.0
NCL06,OUT046,4112.0
FDI35,OUT013,2906.0
NCW42,OUT045,3408.0
NCX06,OUT049,2942.0
FDC37,OUT027,3214.0
FDZ14,OUT018,1738.0
DRG49,OUT049,3954.0
NCG06,OUT045,3960.0
DRC36,OUT045,2726.0
FDV21,OUT019,30.0
FDB53,OUT046,2344.0
DRP47,OUT019,2018.0
FDA14,OUT013,2338.0
DRC24,OUT035,2574.0
FDW21,OUT018,1416.0
NCH29,OUT046,1562.0
FDU58,OUT013,3074.0
FDY27,OUT017,2938.0
FDV56,OUT035,1958.0
FDT59,OUT046,3662.0
FDB23,OUT046,3628.0
FDR49,OUT045,684.0
FDB03,OUT010,1890.0
FDN39,OUT045,2632.0
FDX02,OUT027,4990.0
FDQ16,OUT027,3202.0
FDU35,OUT018,1328.0
NCT29,OUT013,1954.0
FDZ27,OUT046,830.0
FDN57,OUT017,2344.0
FDA03,OUT018,2094.0
FDZ36,OUT045,2926.0
NCU05,OUT013,1318.0
FDT39,OUT018,2200.0
FDK60,OUT017,1700.0
FDZ25,OUT017,2848.0
FDG12,OUT046,2028.0
DRB01,OUT019,1110.0
NCC43,OUT027,5374.0
FDX13,OUT019,2034.0
FDM22,OUT049,1030.0
FDJ03,OUT027,2318.0
FDU14,OUT018,3688.0
FDB33,OUT010,646.0
FDP27,OUT046,3008.0
FDO38,OUT010,-674.0
FDE28,OUT027,5146.0
FDO27,OUT035,1690.0
DRL23,OUT027,3186.0
FDS28,OUT046,972.0
FDX24,OUT013,1542.0
FDZ02,OUT035,1758.0
FDL46,OUT045,1810.0
FDS60,OUT027,4310.0
NCO06,OUT017,626.0
FDO16,OUT035,1542.0
FDC60,OUT049,1542.0
FDA48,OUT018,3188.0
FDZ36,OUT027,4482.0
FDK27,OUT045,1890.0
FDW23,OUT018,384.0
FDM14,OUT018,1514.0
FDM14,OUT013,1782.0
FDW60,OUT018,2612.0
FDE21,OUT013,1910.0
NCM42,OUT035,1896.0
FDY59,OUT010,-374.0
DRI49,OUT049,1358.0
FDT28,OUT019,510.0
FDQ22,OUT018,410.0
FDR60,OUT049,1322.0
FDC50,OUT019,-414.0
FDV24,OUT013,2430.0
DRF48,OUT010,1102.0
FDQ47,OUT046,636.0
DRN36,OUT049,1658.0
NCY06,OUT035,2178.0
FDE52,OUT035,1654.0
NCB54,OUT045,1946.0
NCF31,OUT035,2556.0
