Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1589.2561415228424
FDW14,OUT017,1454.0385072913675
NCN55,OUT010,575.1534725274857
FDQ58,OUT017,2496.402412902478
FDY38,OUT027,5850.207718790346
FDH56,OUT046,1955.7464543065032
FDL48,OUT018,743.144441670076
FDC48,OUT027,2166.0591656684255
FDN33,OUT045,1523.85138520206
FDA36,OUT017,3055.460484813205
FDT44,OUT017,1969.8566418785592
FDQ56,OUT045,1432.649021928544
NCC54,OUT019,575.3292930460043
FDU11,OUT049,2003.7830292737945
DRL59,OUT013,845.4779847687007
FDM24,OUT049,2485.66443855719
FDI57,OUT045,3087.8063699190598
DRC12,OUT018,3056.129762971426
NCM42,OUT027,2941.759187254283
FDA46,OUT010,503.1880039370133
FDA31,OUT013,2833.0266006753586
NCJ31,OUT035,3857.5719784604084
FDG52,OUT046,742.142632138118
NCL19,OUT019,286.3165864598101
FDS10,OUT035,3012.0789812378557
FDX22,OUT010,566.4723554650832
NCF19,OUT035,741.3764904337322
NCE06,OUT046,2554.8502440931948
DRC27,OUT046,3890.4646601796
FDE21,OUT035,1955.7464543065032
NCR42,OUT019,131.21900660765291
FDX51,OUT018,3057.714217240378
NCR06,OUT018,668.7963526935549
FDU31,OUT027,5855.322782163971
FDU59,OUT017,2564.0058868695914
FDR03,OUT027,5850.987621013623
FDS49,OUT027,2055.139401644723
FDD48,OUT010,268.48334936198285
NCF18,OUT017,3056.129762971426
NCD43,OUT027,2855.9330255197633
NCD54,OUT018,2138.557004360272
FDY19,OUT010,268.84688938256824
NCY54,OUT017,2834.5882443523324
NCL19,OUT018,2474.023772500468
FDP23,OUT010,573.2670503524571
FDC26,OUT013,1704.09905335036
FDR14,OUT010,131.21900660765291
NCS41,OUT035,3055.460484813205
FDF41,OUT035,3891.509061163339
FDU34,OUT046,2006.8943385619102
DRH11,OUT046,949.4547370008233
FDM03,OUT013,1586.7848418848707
FDS31,OUT017,3020.2468527165934
FDJ20,OUT017,2003.7830292737945
FDV44,OUT027,5067.051852886049
FDG02,OUT049,3055.460484813205
FDA09,OUT013,2966.9904074454166
FDT04,OUT013,713.2517559978871
FDL58,OUT019,575.3292930460043
FDE52,OUT045,1481.4355666038928
FDW12,OUT035,2476.9315866689335
FDL51,OUT017,3665.7196238578554
NCY42,OUT027,3015.6243058822915
FDR07,OUT017,1528.8240129046746
FDN40,OUT045,2493.791907104328
FDB35,OUT027,2655.1322766389553
FDA22,OUT017,2566.345940028026
NCL06,OUT046,4096.89004176688
FDI35,OUT013,3022.889829397167
NCW42,OUT045,3760.6700289258856
NCX06,OUT049,2978.7565041788016
FDC37,OUT027,2904.0685753755456
FDZ14,OUT018,2003.7830292737945
DRG49,OUT049,3888.855197300817
NCG06,OUT045,4044.279615844882
DRC36,OUT045,2834.5882443523324
FDV21,OUT019,279.7086262352069
FDB53,OUT046,2482.478439420521
DRP47,OUT019,574.00012374464
FDA14,OUT013,2482.478439420521
DRC24,OUT035,2493.791907104328
FDW21,OUT018,1562.835947647747
NCH29,OUT046,1528.8240129046746
FDU58,OUT013,3055.460484813205
FDY27,OUT017,2869.53030277166
FDV56,OUT035,1603.860247149605
FDT59,OUT046,3820.598436488619
FDB23,OUT046,3789.968762936688
FDR49,OUT045,737.9692972763623
FDB03,OUT010,575.3292930460043
FDN39,OUT045,2566.323129436048
FDX02,OUT027,5850.207718790346
FDQ16,OUT027,2904.0685753755456
FDU35,OUT018,1541.1052723018763
NCT29,OUT013,2003.7830292737945
FDZ27,OUT046,742.7930028962978
FDN57,OUT017,2023.2466629865314
FDA03,OUT018,2481.13226892903
FDZ36,OUT045,3055.460484813205
NCU05,OUT013,1472.6999817319154
FDT39,OUT018,2482.756624388724
FDK60,OUT017,1528.8240129046746
FDZ25,OUT017,2743.822976632004
FDG12,OUT046,2003.7830292737945
DRB01,OUT019,503.1880039370133
NCC43,OUT027,5850.207718790346
FDX13,OUT019,573.2670503524571
FDM22,OUT049,867.9293982684014
FDJ03,OUT027,1054.7653073081283
FDU14,OUT018,3852.0824134612617
FDB33,OUT010,383.92804250495095
FDP27,OUT046,3055.460484813205
FDO38,OUT010,162.27230838783476
FDE28,OUT027,5850.207718790346
FDO27,OUT035,1523.85138520206
DRL23,OUT027,2899.6904461542576
FDS28,OUT046,949.4547370008233
FDX24,OUT013,1541.9269208103478
FDZ02,OUT035,1526.612050847222
FDL46,OUT045,1955.7464543065032
FDS60,OUT027,4720.310800095337
NCO06,OUT017,659.526853096041
FDO16,OUT035,1420.2659261570464
FDC60,OUT049,1454.0385072913675
FDA48,OUT018,3551.8439884022646
FDZ36,OUT027,5067.051852886049
FDK27,OUT045,2003.7830292737945
FDW23,OUT018,664.6639645139711
FDM14,OUT018,1675.612420346754
FDM14,OUT013,1589.2561415228424
FDW60,OUT018,2868.1841322801683
FDE21,OUT013,1953.3678516338236
NCM42,OUT035,1603.860247149605
FDY59,OUT010,229.00304073731658
DRI49,OUT049,1347.3479296836326
FDT28,OUT019,368.26192862949995
FDQ22,OUT018,665.606235349537
FDR60,OUT049,1287.621841430332
FDC50,OUT019,237.4187390619183
FDV24,OUT013,2484.102794880216
DRF48,OUT010,490.68289217738385
FDQ47,OUT046,665.1357620746872
DRN36,OUT049,1528.8240129046746
NCY06,OUT035,2012.6659117935967
FDE52,OUT035,1479.777450210044
NCB54,OUT045,2009.852211370485
NCF31,OUT035,2492.4803894300135
FDJ08,OUT027,5104.74322685235
NCC07,OUT017,1586.7848418848707
NCD19,OUT027,1235.409642398521
FDL46,OUT049,1985.7496265887778
FDM20,OUT045,3895.7439104703435
NCI06,OUT010,445.3945416642302
DRM11,OUT035,4107.873011151646
NCH07,OUT018,2547.4211390493497
FDS23,OUT013,2020.7272741259762
FDO49,OUT018,742.4402273230697
FDS35,OUT049,1058.8459889594171
DRK39,OUT045,1399.0442102609827
DRI39,OUT049,925.7687727955322
FDV04,OUT017,2550.3289532178155
NCN14,OUT035,3051.9022993740828
FDH08,OUT013,3814.340946472048
FDS20,OUT046,3055.460484813205
FDV40,OUT049,1120.4771087336972
FDZ48,OUT010,261.5038190626899
FDS24,OUT027,2529.7158761738447
FDK44,OUT049,2831.4421464064067
FDS48,OUT045,2482.478439420521
FDK26,OUT010,491.5994859242081
FDD23,OUT045,3055.460484813205
NCH54,OUT017,2556.292227704056
NCP14,OUT010,242.85072867140622
FDM60,OUT010,131.21900660765291
FDV24,OUT017,2484.102794880216
FDH08,OUT018,3642.995561062932
FDS12,OUT027,2997.726257699413
FDR39,OUT027,4783.0950080154635
FDP12,OUT027,983.6113075755321
DRF60,OUT027,5855.322782163971
FDC09,OUT035,1581.6333096135286
FDF50,OUT018,3064.5572085802187
FDG28,OUT035,3893.0351328583124
NCE19,OUT017,909.2912189680395
NCM53,OUT010,251.8388820616786
NCN18,OUT049,1689.4935877385751
FDF32,OUT035,3107.313445987115
FDF11,OUT013,3869.0295401656163
DRI59,OUT049,3785.738764626855
NCG54,OUT035,2745.9854488001765
FDM44,OUT046,1573.1615461117283
FDT57,OUT018,3688.272521590201
FDV24,OUT046,2484.102794880216
FDI50,OUT019,574.5962196538215
FDS09,OUT035,755.9904959979518
NCC31,OUT027,4103.087632631281
FDQ07,OUT019,575.3292930460043
FDC22,OUT017,3057.714217240378
FDZ56,OUT046,2740.676878686078
FDZ40,OUT019,131.21900660765291
FDS46,OUT027,2956.207350907993
DRD24,OUT045,2031.119247865514
FDV45,OUT017,3053.876030544253
FDL26,OUT045,2499.325621616882
FDA56,OUT018,2003.7830292737945
FDN27,OUT046,1961.398061529009
FDM20,OUT049,3891.475732731868
FDO16,OUT017,1399.0442102609827
FDL03,OUT035,3056.129762971426
FDE58,OUT046,1955.7464543065032
FDI02,OUT027,2953.219647551994
NCC55,OUT019,131.21900660765291
FDR03,OUT018,3309.309729462924
FDB14,OUT017,1515.595956131297
FDR45,OUT013,3871.796478707845
NCN07,OUT017,2020.7272741259762
FDM51,OUT019,247.90032314275152
FDT52,OUT027,5855.322782163971
FDL26,OUT046,2496.402412902478
NCZ42,OUT046,3867.358466961931
DRI47,OUT019,368.5039587211437
FDW40,OUT013,2031.119247865514
FDN34,OUT046,2741.3873213389575
FDS01,OUT035,2889.5406566052816
NCG55,OUT045,1953.3678516338236
FDC11,OUT035,1444.128584371652
FDX35,OUT018,3612.157892753779
NCB06,OUT046,2550.3289532178155
FDR09,OUT019,574.00012374464
FDC53,OUT017,1528.8240129046746
FDY45,OUT013,4035.8626860964946
FDA22,OUT010,389.05240149159675
FDE02,OUT035,1523.85138520206
FDW21,OUT045,1562.835947647747
FDV34,OUT046,1150.1938740839255
FDS59,OUT049,1603.860247149605
NCW17,OUT017,2012.6659117935967
NCK54,OUT046,1955.7464543065032
FDG17,OUT019,574.5962196538215
FDG35,OUT017,2833.0037900833804
FDD08,OUT010,131.21900660765291
NCO07,OUT017,3657.0810701201963
FDJ10,OUT010,279.60374994979986
FDW36,OUT017,1581.6333096135286
FDW21,OUT010,240.917453871617
FDY19,OUT017,1961.398061529009
DRE03,OUT013,795.3735245088245
NCC55,OUT049,668.367715105159
FDH52,OUT010,135.35569775213844
FDO09,OUT017,4096.438880342698
FDU43,OUT045,3881.8746613168482
FDX09,OUT010,422.8008725799942
FDH40,OUT019,196.69683747647068
FDW58,OUT017,1581.6333096135286
FDC47,OUT017,3799.923884003292
NCR41,OUT035,1522.1994529685483
DRG49,OUT035,3893.1233750392926
FDC52,OUT027,4080.361475367648
FDY13,OUT046,1157.7599565841945
FDY35,OUT013,721.6332402552085
FDI35,OUT017,3043.7855449941985
NCU18,OUT049,2031.119247865514
FDY33,OUT018,2547.4211390493497
FDC15,OUT027,4206.74547281725
FDU01,OUT049,3053.876030544253
NCU42,OUT046,2745.9854488001765
NCV29,OUT018,2868.1841322801683
NCY30,OUT017,3053.876030544253
FDQ46,OUT049,1704.09905335036
FDG58,OUT027,4103.087632631281
FDK33,OUT017,3665.7196238578554
NCD07,OUT045,1953.3678516338236
NCX29,OUT027,4050.810272226341
NCT42,OUT013,2484.040083097496
DRN59,OUT035,737.3189265181824
FDI44,OUT035,1293.511273224814
FDA45,OUT049,2870.460946109485
FDP31,OUT045,1058.1088462086364
FDY01,OUT046,1953.3678516338236
FDT09,OUT018,2020.7272741259762
DRH03,OUT027,2799.38490954138
FDA36,OUT018,3055.460484813205
NCF31,OUT017,2497.9640565794516
FDG14,OUT049,2485.66443855719
FDG28,OUT027,5855.322782163971
FDU14,OUT049,4025.6484729102485
FDY47,OUT019,284.64880068510314
FDI56,OUT049,1481.4355666038928
DRD01,OUT013,1018.7823469965347
FDM22,OUT046,960.6068785118504
FDH33,OUT013,718.0345149356508
DRZ24,OUT013,1972.4047899165466
NCQ38,OUT046,1581.6333096135286
FDO16,OUT027,2318.723184156819
FDU07,OUT027,4067.062291951912
NCB07,OUT013,3056.129762971426
FDU48,OUT045,2020.7272741259762
NCM43,OUT045,2565.5675305465656
FDR31,OUT010,366.5744155913502
DRK49,OUT018,668.1459819353751
NCI30,OUT010,575.1534725274857
DRD60,OUT017,3020.2468527165934
NCG19,OUT046,3832.9553673234273
FDH12,OUT035,1581.6333096135286
FDM32,OUT035,1510.7206398340609
FDM27,OUT035,2505.2556670227646
NCU53,OUT027,4267.877862526675
NCQ18,OUT046,1538.5837519415154
FDS10,OUT013,2947.218919945275
FDB33,OUT027,4206.74547281725
FDI12,OUT013,1511.4526494876586
NCW42,OUT013,3746.638760675996
NCC06,OUT018,2012.6659117935967
FDW02,OUT017,2006.8943385619102
NCD43,OUT017,1581.6333096135286
FDM57,OUT018,1410.2922231709815
FDA58,OUT017,3854.379254522133
FDK56,OUT046,3055.460484813205
FDP52,OUT045,3824.866614227094
FDW20,OUT018,2003.7830292737945
FDS52,OUT049,1555.7022996188953
NCT29,OUT018,2000.980837509323
NCL54,OUT013,2864.61290203603
FDC05,OUT045,3063.6120658664613
FDF34,OUT035,3060.3401716874705
FDP03,OUT027,2997.726257699413
FDD32,OUT010,189.90542885893285
FDZ10,OUT045,2012.6659117935967
FDZ40,OUT035,907.8052747273291
FDD51,OUT018,670.9886472571266
NCY30,OUT019,429.69648974587915
