Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1872.8029664925343
FDW14,OUT017,1610.6031977260704
NCN55,OUT010,1842.003043355388
FDQ58,OUT017,2582.493597824519
FDY38,OUT027,5072.1648933715915
FDH56,OUT046,1936.6625100377205
FDL48,OUT018,665.6978923805297
FDC48,OUT027,2801.6014341432888
FDN33,OUT045,1541.7826997589855
FDA36,OUT017,3058.51788016423
FDT44,OUT017,2002.7634600099063
FDQ56,OUT045,1354.7365321348434
NCC54,OUT019,1805.9271379462039
FDU11,OUT049,2060.2365667832023
DRL59,OUT013,956.9321095140976
FDM24,OUT049,2539.3841718912036
FDI57,OUT045,3049.3026968461186
DRC12,OUT018,2721.970560621936
NCM42,OUT027,3191.092231710685
FDA46,OUT010,1124.1369948346528
FDA31,OUT013,2774.6590346012904
NCJ31,OUT035,3780.6530906769917
FDG52,OUT046,866.3059974594034
NCL19,OUT019,407.0721897779156
FDS10,OUT035,2989.240833519117
FDX22,OUT010,1459.877282281051
NCF19,OUT035,989.276503885301
NCE06,OUT046,2512.7959433115434
DRC27,OUT046,3760.4155429023385
FDE21,OUT035,2045.2333534124318
NCR42,OUT019,-1241.2181558612567
FDX51,OUT018,2837.3520986086537
NCR06,OUT018,512.3664324068694
FDU31,OUT027,4863.252579360282
FDU59,OUT017,2688.9857642291045
FDR03,OUT027,4681.89562811305
FDS49,OUT027,2767.580510784041
FDD48,OUT010,-0.36494173854396195
NCF18,OUT017,3070.7622955739043
NCD43,OUT027,3102.4419203749494
NCD54,OUT018,1996.7498048778796
FDY19,OUT010,28.369234300833
NCY54,OUT017,2770.885207516562
NCL19,OUT018,2025.475713798137
FDP23,OUT010,1526.2096283778742
FDC26,OUT013,1836.8919504843907
FDR14,OUT010,-953.2105056081942
NCS41,OUT035,2992.005103359992
FDF41,OUT035,3954.221484298259
FDU34,OUT046,2004.2331862359918
DRH11,OUT046,977.2122796744993
FDM03,OUT013,1755.9218398147732
FDS31,OUT017,2994.9238938748367
FDJ20,OUT017,2101.7576518275573
FDV44,OUT027,4427.635060804043
FDG02,OUT049,3075.0237543290427
FDA09,OUT013,2923.009990355579
FDT04,OUT013,748.4303869456279
FDL58,OUT019,2229.8934198967345
FDE52,OUT045,1492.6441035924913
FDW12,OUT035,2501.342033412094
FDL51,OUT017,3494.110633712482
NCY42,OUT027,3664.944133078341
FDR07,OUT017,1691.6485422828468
FDN40,OUT045,2359.262963852048
FDB35,OUT027,2961.6380713923
FDA22,OUT017,2716.0510935874936
NCL06,OUT046,4015.7858548666304
FDI35,OUT013,2890.776789101521
NCW42,OUT045,3356.964282264011
NCX06,OUT049,2910.8775376253166
FDC37,OUT027,3197.2010775746876
FDZ14,OUT018,1753.31952292255
DRG49,OUT049,3863.783911025386
NCG06,OUT045,3881.34211182156
DRC36,OUT045,2697.768228626984
FDV21,OUT019,75.980839111264
FDB53,OUT046,2333.350631594801
DRP47,OUT019,1959.710579819634
FDA14,OUT013,2346.5190610985287
DRC24,OUT035,2552.2964243551846
FDW21,OUT018,1447.7757296331563
NCH29,OUT046,1586.0009332013694
FDU58,OUT013,3048.078032791566
FDY27,OUT017,2911.3329082164287
FDV56,OUT035,1975.379762370311
FDT59,OUT046,3593.283924612507
FDB23,OUT046,3560.4987026639383
FDR49,OUT045,761.3659227563592
FDB03,OUT010,1857.3244013538624
FDN39,OUT045,2621.210205288426
FDX02,OUT027,4890.924197565844
FDQ16,OUT027,3187.923773733448
FDU35,OUT018,1362.3290061549476
NCT29,OUT013,1976.8907103238614
FDZ27,OUT046,892.2943482689411
FDN57,OUT017,2347.5353851790123
FDA03,OUT018,2094.6554279084176
FDZ36,OUT045,2896.376255692353
NCU05,OUT013,1372.126402867655
FDT39,OUT018,2194.0864756323185
FDK60,OUT017,1733.269296215802
FDZ25,OUT017,2826.2042651827155
FDG12,OUT046,2032.8098421095747
DRB01,OUT019,1096.1661387547167
NCC43,OUT027,5254.451558454477
FDX13,OUT019,1990.0677569620157
FDM22,OUT049,1090.5728914059628
FDJ03,OUT027,2343.804994862239
FDU14,OUT018,3614.919463876494
FDB33,OUT010,673.6748189021052
FDP27,OUT046,2964.992931840336
FDO38,OUT010,-582.34084885352
FDE28,OUT027,5035.122942761112
FDO27,OUT035,1715.3664559643653
DRL23,OUT027,3161.4320901290625
FDS28,OUT046,1023.7860072911128
FDX24,OUT013,1588.7416501366695
FDZ02,OUT035,1782.814474417532
FDL46,OUT045,1836.9288736250667
FDS60,OUT027,4242.782159518178
NCO06,OUT017,706.5131868630137
FDO16,OUT035,1577.7436058014423
FDC60,OUT049,1574.1145277234996
FDA48,OUT018,3135.5709020184795
FDZ36,OUT027,4408.533188277341
FDK27,OUT045,1912.309430081942
FDW23,OUT018,463.0097215904974
FDM14,OUT018,1542.5529152586203
FDM14,OUT013,1819.4126194868961
FDW60,OUT018,2587.1778152110364
FDE21,OUT013,1937.9415848328003
NCM42,OUT035,1909.444526816435
FDY59,OUT010,-297.7309001368252
DRI49,OUT049,1389.7380567445634
FDT28,OUT019,537.7651416266606
FDQ22,OUT018,490.34879137388884
FDR60,OUT049,1364.6713468151684
FDC50,OUT019,-348.066911094387
FDV24,OUT013,2433.96587691831
DRF48,OUT010,1095.845643257506
FDQ47,OUT046,704.9555876086154
DRN36,OUT049,1677.2573903953498
NCY06,OUT035,2178.520245713373
FDE52,OUT035,1683.6893760017058
NCB54,OUT045,1960.3087158249336
NCF31,OUT035,2539.7048873158606
FDJ08,OUT027,4376.769647869056
NCC07,OUT017,1820.1395751255122
NCD19,OUT027,2368.2348207350465
FDL46,OUT049,2039.978428744474
FDM20,OUT045,3761.126628739419
NCI06,OUT010,942.6329548763536
DRM11,OUT035,4120.160176715768
NCH07,OUT018,2198.8487657508645
FDS23,OUT013,2089.7637314754593
FDO49,OUT018,672.3660251223564
FDS35,OUT049,1206.92867813887
DRK39,OUT045,1307.0718204107484
DRI39,OUT049,1081.1504224640748
FDV04,OUT017,2615.984328682893
NCN14,OUT035,2965.0734210392266
FDH08,OUT013,3640.1976974638187
FDS20,OUT046,2876.45419530772
FDV40,OUT049,1390.4453076796422
FDZ48,OUT010,-82.94838827509227
FDS24,OUT027,2920.625602206657
FDK44,OUT049,2816.3419183411424
FDS48,OUT045,2355.6435572674213
FDK26,OUT010,1120.2173333844135
FDD23,OUT045,2944.09094882824
NCH54,OUT017,2624.4065811230744
NCP14,OUT010,-190.92167417019414
FDM60,OUT010,-1076.7710446538372
FDV24,OUT017,2494.5959678137597
FDH08,OUT018,3301.113558757523
FDS12,OUT027,3432.419805975408
FDR39,OUT027,4251.18993466469
FDP12,OUT027,2170.526373108423
DRF60,OUT027,5064.005825000024
FDC09,OUT035,1878.576661764318
FDF50,OUT018,2816.5950569618967
FDG28,OUT035,3963.4411629441956
NCE19,OUT017,1048.0758859503353
NCM53,OUT010,-132.7046348170354
NCN18,OUT049,1895.4705064291097
FDF32,OUT035,3250.581562901126
FDF11,OUT013,3803.128754647384
DRI59,OUT049,3576.365760953315
NCG54,OUT035,2778.670948559144
FDM44,OUT046,1674.558467740805
FDT57,OUT018,3407.8781930681953
FDV24,OUT046,2387.558420202571
FDI50,OUT019,1733.6527564013968
FDS09,OUT035,1096.8633018548412
NCC31,OUT027,3859.466548742099
FDQ07,OUT019,1566.252028571499
FDC22,OUT017,3122.917377824006
FDZ56,OUT046,2681.83933549695
FDZ40,OUT019,-888.8205337885931
FDS46,OUT027,3382.872941031877
DRD24,OUT045,2172.4603148153587
FDV45,OUT017,3073.5265110018145
FDL26,OUT045,2406.0364953803405
FDA56,OUT018,1737.134264372596
FDN27,OUT046,1917.1329174297157
FDM20,OUT049,3896.4361076486343
FDO16,OUT017,1513.5186708725128
FDL03,OUT035,3252.8618614582642
FDE58,OUT046,1895.923033510378
FDI02,OUT027,3266.4944943047612
NCC55,OUT019,-1157.1879035349903
FDR03,OUT018,3001.046148435505
FDB14,OUT017,1660.5888064713542
FDR45,OUT013,3780.2499269560863
NCN07,OUT017,2171.2542806581037
FDM51,OUT019,-123.21466480542699
FDT52,OUT027,5257.254377376154
FDL26,OUT046,2440.47743809508
NCZ42,OUT046,3689.9058684347347
DRI47,OUT019,455.9530181052239
FDW40,OUT013,2313.2375433742136
FDN34,OUT046,2729.9187824841533
FDS01,OUT035,2963.3545346852793
NCG55,OUT045,1803.1369214246845
FDC11,OUT035,1566.4520766254786
FDX35,OUT018,3283.0562658361982
NCB06,OUT046,2497.473821153594
FDR09,OUT019,2137.578670541339
FDC53,OUT017,1723.8739281166568
FDY45,OUT013,4000.8756868911246
FDA22,OUT010,773.8155295553813
FDE02,OUT035,1694.5989183710094
FDW21,OUT045,1661.631421124304
FDV34,OUT046,1310.9763504769917
